analogy,name,in_support_of,submitter
"analogizing the computer industry’s API economy to an engine, and stating that “Oracle is replacing the engine oil with glue”",20190225111722754_18-956 Brief,Petitioner,Electronic Frontier Foundation
We cannot recognize copyright as a game of chess in which the public can be checkmated. Cf. Baker v. Selden [citation omitted].,20190225131314910_IP Scholars Amicus Brief,Petitioner,65 Intellectual Property Scholars
The concept of efficiency in computer program design is akin to deriving the most concise logical proof or formulating the most succinct mathematical computation.,20190225131314910_IP Scholars Amicus Brief,Petitioner,65 Intellectual Property Scholars
"Justice Bradley illustrated the proposition by noting that although a physician could gain a copyright in a book about his medical discoveries and treatments, such protection could not extend to the new art, manufacture, or composition of matter without obtaining a utility patent.",20190225113504834_37659 pdf Menell,Petitioner,Professors Peter S. Menell and David Nimmer
"The document uses the analogy of a haiku or novel used as lockout code in software: even though a haiku or novel could be protected as poetry or a book, it would be barred from copyright protection as lockout code.",20190225113504834_37659 pdf Menell,Petitioner,Professors Peter S. Menell and David Nimmer
"The document also uses the analogy of the inventor of a better digital water pump or arrangement of typewriter keys being able to bar competition for life of the inventor plus 70 years by copyrighting the declarations (or functional specifications) for these devices, which would undermine the intellectual property system.",20190225113504834_37659 pdf Menell,Petitioner,Professors Peter S. Menell and David Nimmer
"Developers often refer to writing computer software as 'writing code,' analogous to 'writing prose' or 'writing poetry' for other authors.",20190222113700973_18-956 Amicus Brief of Developers Alliance,Petitioner,Developers Alliance
"If an interface is the boundary between two co-dependent systems (where each side must mirror the other, like toy building blocks or a plug and socket)... Alternatively, if an interface is a separate idea, like a stream of binary digits or a metaphysical sheet of glass which simply separates the shared landscape into two viewpoints...",20190222113700973_18-956 Amicus Brief of Developers Alliance,Petitioner,Developers Alliance
"Google, Oracle and amici have provided numerous analogies from libraries to QWERTY keyboards, and at various stages of litigation the lower courts and amici have added to this growing list in an attempt to anchor modern software development in the rich history of creative works and copyright application.",20190222113700973_18-956 Amicus Brief of Developers Alliance,Petitioner,Developers Alliance
"Just as users must know how to navigate to their saved documents, programmers using a software interface must specify the path for each declaration so that the computer knows where to find the corresponding implementation. Telling a person to click on “My Documents,” then on a folder called “Receipts,” and finally on a file called “Sofa” to find how much their sofa cost is just like a program navigating through the Java API to a package called util and opening a class called Arrays to find the implementation for the sort method.",20190225134131839_18-956_Oracle_v__Google_Computer_Scientists_Amicus_Motion_Brief_FILE,Petitioner,78 Amici Curiae Computer Scientists
"Just as the first car would look laughable today, the first word processing software would be a laughable replacement for modern applications. Yet a steering wheel, turn signals, and gas and brake pedals have been standard in cars for over a century. If Tesla had to re-invent the standard driving interface to make electric-powered cars, it would face high barriers in attracting new customers. In software, treating interfaces as copyrightable would be like requiring car manufacturers to invent a substitute for the steering wheel.",20190225134131839_18-956_Oracle_v__Google_Computer_Scientists_Amicus_Motion_Brief_FILE,Petitioner,78 Amici Curiae Computer Scientists
